LSOA_code,LSOA_name,Households
E01013887,Nottingham 001A,653
E01013892,Nottingham 001B,597
E01013893,Nottingham 001C,619
E01013894,Nottingham 001D,648
E01013879,Nottingham 002A,564
E01013880,Nottingham 002B,670
E01013881,Nottingham 002C,638
E01013882,Nottingham 002D,638
E01013885,Nottingham 002E,777
E01013886,Nottingham 004A,651
E01013888,Nottingham 004B,711
E01013889,Nottingham 004C,723
E01013890,Nottingham 004D,660
E01013891,Nottingham 004E,772
E01013875,Nottingham 005A,513
E01013876,Nottingham 005B,730
E01013877,Nottingham 005C,695
E01013878,Nottingham 005D,521
E01013883,Nottingham 005E,664
E01013884,Nottingham 005F,630
E01013853,Nottingham 006A,650
E01013854,Nottingham 006B,604
E01013855,Nottingham 006C,606
E01013856,Nottingham 006D,623
E01033397,Nottingham 006F,739
E01033398,Nottingham 006G,626
E01013963,Nottingham 007A,677
E01013964,Nottingham 007B,700
E01013965,Nottingham 007C,611
E01013966,Nottingham 007D,545
E01013967,Nottingham 007E,537
E01013827,Nottingham 008A,589
E01013828,Nottingham 008B,818
E01013834,Nottingham 008C,635
E01013835,Nottingham 008D,729
E01013836,Nottingham 008E,905
E01013829,Nottingham 009A,798
E01013830,Nottingham 009B,647
E01013831,Nottingham 009C,667
E01013832,Nottingham 009D,760
E01013833,Nottingham 009E,543
E01013935,Nottingham 010A,714
E01013968,Nottingham 010B,662
E01013969,Nottingham 010C,817
E01013970,Nottingham 010D,698
E01013971,Nottingham 010E,789
E01013817,Nottingham 011A,641
E01013818,Nottingham 011B,533
E01013822,Nottingham 011C,631
E01013825,Nottingham 011D,692
E01013826,Nottingham 011E,665
E01013837,Nottingham 012A,733
E01013838,Nottingham 012B,701
E01013839,Nottingham 012C,912
E01013840,Nottingham 012D,993
E01013841,Nottingham 012E,701
E01013819,Nottingham 013A,710
E01013820,Nottingham 013B,648
E01013821,Nottingham 013C,630
E01013823,Nottingham 013D,641
E01013824,Nottingham 013E,590
E01013864,Nottingham 014A,892
E01013865,Nottingham 014B,706
E01013866,Nottingham 014C,596
E01013867,Nottingham 014D,570
E01013937,Nottingham 015A,769
E01013938,Nottingham 015B,695
E01013941,Nottingham 015C,881
E01013943,Nottingham 015D,835
E01013972,Nottingham 015E,703
E01013936,Nottingham 016A,1053
E01013939,Nottingham 016B,741
E01013940,Nottingham 016C,801
E01013942,Nottingham 016D,908
E01013843,Nottingham 017A,788
E01013844,Nottingham 017B,662
E01013845,Nottingham 017C,627
E01013847,Nottingham 017D,441
E01013810,Nottingham 018A,643
E01013811,Nottingham 018B,526
E01013812,Nottingham 018C,554
E01013842,Nottingham 018D,703
E01013846,Nottingham 018E,655
E01013930,Nottingham 019A,691
E01013931,Nottingham 019B,740
E01013932,Nottingham 019C,898
E01013933,Nottingham 019D,714
E01013934,Nottingham 019E,626
E01013859,Nottingham 020A,714
E01013861,Nottingham 020B,695
E01013868,Nottingham 020C,595
E01013929,Nottingham 020D,752
E01013954,Nottingham 021A,828
E01013959,Nottingham 021B,804
E01013960,Nottingham 021C,847
E01013962,Nottingham 021D,886
E01013813,Nottingham 022A,578
E01013814,Nottingham 022B,715
E01013815,Nottingham 022C,602
E01013816,Nottingham 022D,780
E01013958,Nottingham 023C,773
E01013961,Nottingham 023D,882
E01033399,Nottingham 023E,458
E01033409,Nottingham 023H,486
E01033411,Nottingham 023I,575
E01035500,Nottingham 023J,1023
E01013913,Nottingham 024A,669
E01013914,Nottingham 024B,611
E01013915,Nottingham 024C,649
E01013916,Nottingham 024D,588
E01013917,Nottingham 024E,767
E01013858,Nottingham 025A,571
E01013860,Nottingham 025B,711
E01013862,Nottingham 025C,605
E01013863,Nottingham 025D,586
E01013944,Nottingham 026A,637
E01013945,Nottingham 026B,643
E01013947,Nottingham 026D,642
E01013948,Nottingham 026E,678
E01013953,Nottingham 026F,585
E01033395,Nottingham 026G,432
E01033396,Nottingham 026H,513
E01032520,Nottingham 028E,1031
E01032522,Nottingham 028F,1041
E01035501,Nottingham 028H,809
E01035502,Nottingham 028I,574
E01013918,Nottingham 029A,741
E01013919,Nottingham 029B,813
E01013920,Nottingham 029C,1148
E01013921,Nottingham 029D,817
E01013957,Nottingham 029E,648
E01013980,Nottingham 030A,674
E01013982,Nottingham 030B,631
E01013983,Nottingham 030C,606
E01013984,Nottingham 030D,626
E01013985,Nottingham 030E,698
E01013928,Nottingham 031G,529
E01033410,Nottingham 031I,814
E01035503,Nottingham 031J,415
E01035504,Nottingham 031K,562
E01035505,Nottingham 031L,974
E01013895,Nottingham 034A,635
E01013896,Nottingham 034B,568
E01013901,Nottingham 034C,630
E01013902,Nottingham 034D,846
E01013897,Nottingham 035A,620
E01013898,Nottingham 035B,416
E01013899,Nottingham 035C,494
E01013900,Nottingham 035D,656
E01013903,Nottingham 035E,496
E01013907,Nottingham 035F,735
E01013905,Nottingham 036A,618
E01013908,Nottingham 036B,684
E01013909,Nottingham 036C,744
E01013912,Nottingham 036D,627
E01013904,Nottingham 037A,604
E01013906,Nottingham 037B,680
E01013910,Nottingham 037C,638
E01013911,Nottingham 037D,680
E01013849,Nottingham 038A,674
E01013850,Nottingham 038B,683
E01013851,Nottingham 038C,718
E01013852,Nottingham 038D,757
E01032621,Nottingham 038E,683
